model,task,flops,accuracy,energy_kWh
distilgpt2,inference-short,1638251520,,0.00023068072622003849
distilgpt2,inference-long,58157928960,,0.00022726934757583974
distilgpt2,inference-short,1638251520,,0.00022827439919066337
distilgpt2,inference-long,58157928960,,0.00029730852197346383
gpt2,inference-short,2488796160,,0.0004923194139739528
gpt2,inference-long,88352263680,,0.0004580680696593504
gpt2,inference-short,2488796160,,0.00045138167036131555
gpt2,inference-long,88352263680,,0.0004817357930071014
distilgpt2,inference-short,819125760,,9.917560315676994e-05
distilgpt2,inference-long,29078964480,,0.00014028083706207057
gpt2,inference-short,1244398080,,0.00020530488089655154
gpt2,inference-long,44176131840,,0.00024744054957343415
gpt2-medium,inference-short,3548231680,,0.00045436378704692
gpt2-medium,inference-long,125962224640,,0.0005371813450873466
gpt2-medium,inference-short,3548231680,,0.0004781006045184766
gpt2-medium,inference-long,125962224640,,0.0005107248409497076
distilgpt2,training-b2-s128,5242404864000,,0.0030149992619256873
distilgpt2,training-b4-s128,10484809728000,,0.002524905599325543
distilgpt2,training-b2-s256,10484809728000,,0.005204761853979548
gpt2,training-b2-s128,7964147712000,,0.00448258832045798
gpt2,training-b4-s128,15928295424000,,0.0035545692235885054
gpt2,training-b2-s256,15928295424000,,0.007787089629707504
distilgpt2,training-b8-s128,20969619456000,,0.0022675736403659497
gpt2,training-b8-s128,31856590848000,,0.0030192545244846934
distilgpt2,training-b2-s512,20969619456000,,0.009133746250907347
gpt2,training-b2-s512,31856590848000,,0.015210494040488775
